Internal ID,Q1: GOING OUT?,Q2: GENDER,Q3: AGE,Q4: COUNTRY,"Q5: STATE, PROVINCE, COUNTY, ETC",Q7: JOY OTHER,Q10: DRESS,Q11: DAY,"Click Coordinates (x, y)",Media
90272904,No,Female,33,United States,Michigan,"Puppies, pure sunshine, kombucha, and a kiss from my one true love",White and gold,Friday,Unknown,Unknown
90272905,No,Male,47,United States,California,Jelly Belly jelly beans!,White and gold,Friday,"(57, 9)",Science
90272913,No,Male,52,United States,Illinois,Cow Tails! Butterscotch! Sugar Babies!,White and gold,Friday,"(75, 31)",Science
90272919,No,Male,63,United States,Wisconsin,Unknown,White and gold,Sunday,"(66, 34)",Science
90272924,No,Female,48,United States,Minnesota,Puppies,White and gold,Friday,"(16, 32)",Daily Dish
90272927,No,Male,52,United Kingdom,London,"Marathon Bars (in England they are called Curly Wurlies). Pop rocks & Space dust, Almond Joy",White and gold,Friday,"(66, 18)",Science
90272930,No,Male,65,United States,New Jersey,Almost anything from Lindt,Unknown,Friday,Unknown,Unknown
90272933,No,Female,45,United States,Minnesota,Unknown,White and gold,Sunday,"(76, 13)",Science
90272934,No,Male,41,United States,Texas,"SIXLETS, WHOPPERS, ZERO",Blue and black,Sunday,"(66, 31)",Science
90272939,No,Male,47,United States,Texas,raw eggs and a map of neighborhood houses not giving out candy,White and gold,Friday,"(86, 23)",Science
90272940,No,Male,44,United States,District of Columbia,Unknown,White and gold,Friday,"(69, 26)",Science
90272944,No,Male,49,United States,Washington,A cappucino,Blue and black,Sunday,"(70, 10)",Science
90272945,No,Male,31,United States,Massachusetts,"Any chocolate covered fruit, those orange-flavored chocolate orbs that you crack into slices, chocolate covered pretzels",White and gold,Sunday,"(70, 22)",Science
90272947,No,Male,59,United States,Oregon,hot tamales or other cinnamon candies,Blue and black,Sunday,"(77, 30)",Science
90272948,No,Female,50,United States,Illinois,Exotic international candies,Blue and black,Friday,"(77, 34)",Science
90272960,No,Male,34,United States,New York,Belly Flops (Irregular Jelly Belly from the Dollar Store),Blue and black,Sunday,"(85, 77)",Yahoo
90272961,No,Male,61,United States,Massachusetts,"Brussels sprouts, canned spinach, canned SPAM",White and gold,Sunday,"(80, 15)",Science
90272962,No,Female,44,Canada,Alberta,Unknown,White and gold,Sunday,"(82, 32)",Science
90272963,No,Male,46,United Arab Emirates,Abu Dhabi,Unknown,White and gold,Friday,"(66, 20)",Science
90272966,No,Male,54,United States,Pennsylvania,Tootsie Rolls,White and gold,Sunday,"(76, 29)",Science
90272975,No,Male,41,United States,Dc,Unknown,White and gold,Friday,"(78, 32)",Science
90272976,No,Female,46,United States,Pennsylvania,Warheads,White and gold,Friday,"(85, 36)",Science
90272978,No,Female,50,United States,California,Unknown,White and gold,Friday,"(70, 27)",Science
90272985,No,Male,37,United States,Virginia,Unknown,White and gold,Friday,"(43, 91)",ESPN
90272986,No,Male,45,United States,Illinois,"Almond Joy, Peanut Butter M&Ms, Bullseyes",Blue and black,Friday,"(74, 71)",Yahoo
90272991,No,Male,53,United States,Florida,Unknown,White and gold,Friday,"(71, 15)",Science
90272994,No,Female,62,United States,Minnesota,"Family, granddaughter",White and gold,Friday,"(67, 19)",Science
90272995,No,Female,40,Canada,yukon,Puppies! Stickers! Temporary Tatoos! Beer (craft beer not the generic crap),Blue and black,Sunday,"(80, 39)",Science
90272996,Yes,Female,40,United States,Pennsylvania,Unknown,White and gold,Sunday,"(72, 42)",Science
90273000,No,Male,29,United States,Maryland,Unknown,Blue and black,Sunday,"(86, 32)",Science
90273001,No,Male,33,United States,Virginia,Unknown,Blue and black,Friday,"(77, 31)",Science
90273005,No,Female,42,Canada,Alberta,Unknown,White and gold,Friday,"(29, 30)",Daily Dish
90273008,No,Male,39,Greenland,OXFORDSHIRE,Unknown,White and gold,Sunday,"(66, 3)",Science
90273011,No,Male,36,United States,Minnesota,Unknown,White and gold,Friday,"(85, 24)",Science
90273016,No,Male,38,United States,DC,Unknown,White and gold,Sunday,"(88, 41)",Science
90273017,No,Female,32,United States,Iowa,"Andes mints (despite reminding me of my weird grandma). Also those pumpkin things that were made out of the same stuff as candy corn. Milky ways. As a kid, I also liked those little raspberry shaped things with candy on the outside and chewy stuff on the inside. Mints where the swirly colored bits meant it was fruit flavored (orange only).",White and gold,Friday,"(79, 16)",Science
90273019,No,Male,48,United States,Minnesota,Unknown,Blue and black,Sunday,"(81, 20)",Science
90273023,No,Female,38,United States,TN,Unknown,White and gold,Sunday,"(77, 21)",Science
90273028,No,Male,44,United States,Ohio,Unknown,White and gold,Sunday,"(74, 20)",Science
90273037,No,Male,48,Canada,British Columbia,Unknown,White and gold,Friday,"(70, 31)",Science
90273043,No,Male,37,United Kingdom,Unknown,"Dime Bars, Reisens, kinder eggs, star bar, picnic and yorkies",White and gold,Friday,"(80, 28)",Science
90273045,No,Male,28,United States,Maryland,Gummi Anything,Blue and black,Friday,"(27, 69)",ESPN
90273046,No,Female,45,Canada,Ontario,Not appropriate to mention,White and gold,Friday,"(62, 28)",Science
90273047,No,Male,42,United States,MI,Unknown,Blue and black,Friday,"(72, 30)",Science
90273048,No,Male,69,United States,Wisconsin,Unknown,White and gold,Sunday,"(79, 26)",Science
90273049,No,Male,50,United States,Maryland,Unknown,White and gold,Sunday,"(82, 28)",Science
90273051,No,Male,42,United States,Ny,Unknown,White and gold,Sunday,"(76, 29)",Science
90273053,No,Female,35,United States,Colorado,Unknown,White and gold,Friday,"(75, 11)",Science
90273055,No,Female,44,United States,California,Unknown,White and gold,Sunday,"(78, 26)",Science
90273057,Yes,Male,44,United States,Louisiana,Bourbon,Blue and black,Friday,"(31, 76)",ESPN
90273058,No,Male,42,United States,Colorado,Unknown,Unknown,Friday,Unknown,Unknown
90273059,No,Male,43,Canada,Ontario,Aero bars,Blue and black,Friday,"(72, 5)",Science
90273060,No,Female,37,United States,DC,Unknown,Blue and black,Friday,"(72, 4)",Science
90273061,No,Male,47,United States,pa,"Zagnut, Zero Bar",Blue and black,Sunday,"(68, 31)",Science
90273062,Yes,Female,50,United States,Texas,Sour gummy worms,Blue and black,Friday,"(76, 21)",Science
90273064,No,Male,67,United States,"CO, Larimer County","M&M dark chocolate peanuts, dark chocolate KitKat, dark chocolate anything actually",White and gold,Friday,"(60, 5)",Science
90273069,No,Female,33,United States,Nebraska ,Whiskey ,Blue and black,Sunday,"(71, 29)",Science
90273077,No,Female,39,United States,Oregon,Plastic spider rings! Fangs!,White and gold,Sunday,"(27, 24)",Daily Dish
90273079,No,Male,30,Canada,Ontario,Unknown,Blue and black,Sunday,"(66, 8)",Science
90273081,Yes,Male,25,United States,UT,Unknown,White and gold,Friday,"(87, 36)",Science
90273082,No,Male,29,United States,New York,Zagnut!,White and gold,Sunday,"(66, 44)",Science
90273086,No,Male,53,United States,Minnesota,Unknown,Unknown,Friday,Unknown,Unknown
90273089,No,Female,22,United States,Pennsylvania,Unknown,Unknown,Friday,Unknown,Unknown
90273090,No,Female,50,United States,Wisconsin,Almond Joy; Mounds Bar; anything Ghirardelli; Reese's Fast Break; Hershey's Cookie Layer Crunch all flavors.,White and gold,Friday,"(80, 28)",Science
90273094,No,Male,46,Canada,Ontario,Unknown,Unknown,Friday,Unknown,Unknown
90273100,Yes,Male,53,United States,California,Anti-Trump literature,White and gold,Friday,"(76, 5)",Science
90273108,No,Female,62,United States,Carolina,Butterfinger,Blue and black,Friday,"(21, 30)",Daily Dish
90273109,No,Male,48,United States,New York,Unknown,White and gold,Friday,"(74, 25)",Science
90273110,No,Male,49,United States,Tennessee ,"Anything chocolate, whoppers, dark chocolate goobers, goober so, raisinetts, dark chocolate raisinettes, anything caramel, sugar babies, ",Blue and black,Friday,"(75, 22)",Science
90273116,Yes,Female,37,United States,Michigan,Unknown,Blue and black,Sunday,"(73, 31)",Science
90273119,No,Male,54,United States,California,Unknown,White and gold,Sunday,"(74, 26)",Science
90273122,No,Female,51,United States,Minnesota,Unknown,White and gold,Sunday,"(61, 3)",Science
90273125,No,Male,70,United States,"Knox county, Tennessee",A quick shag in the bushes by the door.,Blue and black,Friday,"(81, 27)",Science
90273127,No,Male,33,United States,Minnesota,Flint stones vitamins,White and gold,Friday,"(73, 24)",Science
90273130,No,Male,67,United States,New Mexico,"Brach's Mellowcream mix with the cats, corn, pumpkin, honey pot, moon, wheat shock, and I forget what else.",Blue and black,Friday,"(72, 28)",Science
90273137,No,Female,65,United States,Maine,Unknown,Blue and black,Friday,"(74, 7)",Science
90273138,No,Male,46,United States,maine,"sprees, sweet tarts",White and gold,Sunday,Unknown,Unknown
90273140,No,Male,48,United States,California,Homemade caramels,Blue and black,Sunday,"(74, 24)",Science
90273157,No,Male,44,United States,Virginia,Unknown,White and gold,Friday,"(85, 39)",Science
90273158,No,Female,37,United States,Washington,"Sauvignon Blanc or any dry white wine that is NOT chardonnay. Honestly what is it with the love affair for chardonnay? Also, ecstasy could be cool.",White and gold,Friday,"(75, 36)",Science
90273159,No,Female,43,United States,Minnesota,Unknown,White and gold,Friday,"(78, 25)",Science
90273171,Yes,Male,47,United States,Virginia,Unknown,Blue and black,Sunday,"(67, 16)",Science
90273178,No,Male,38,United States,Illinois,Peanut Butter Snickers; most flavors of Ritter Sport; any waffled cookie; those plastic champagne poppers; Charleston Chews,Blue and black,Friday,"(74, 20)",Science
90273180,No,Male,37,United States,Oregon,Unknown,Blue and black,Sunday,"(79, 26)",Science
90273185,No,I'd rather not say,33,United States,Washington,Teriyaki from the GOOD place.,White and gold,Sunday,"(87, 24)",Science
90273186,No,Female,43,United States,Illinois,"Dildos, fluffy cats, root beer",White and gold,Friday,"(63, 29)",Science
90273190,No,Male,34,United States,California,Jars of peanut butter (with spoon),White and gold,Friday,"(84, 62)",Yahoo
90273204,No,Male,51,United States,Il,Unknown,White and gold,Friday,"(71, 22)",Science
90273220,No,Female,54,United States,Oregon,"cadbury flake bar, violet crumbles",White and gold,Friday,"(65, 5)",Science
90273224,Yes,Male,38,United States,New Hampshire ,Plastic spider rings,White and gold,Friday,"(66, 26)",Science
90273226,No,Male,38,United States,Washington,Unknown,Blue and black,Friday,Unknown,Unknown
90273232,No,Male,53,United States,Georgia,Unknown,White and gold,Friday,"(68, 5)",Science
90273236,No,Male,45,United States,Illinois,Milky way,White and gold,Friday,"(29, 79)",ESPN
90273237,No,Female,37,United States,California,Unknown,Blue and black,Friday,Unknown,Unknown
90273238,No,Female,35,United States,Washington,Unknown,White and gold,Sunday,"(67, 32)",Science
90273240,No,Male,28,United States,Michigan,Unknown,Blue and black,Sunday,"(66, 37)",Science
90273242,No,Male,41,Canada,British Columbia,Unknown,Blue and black,Friday,"(11, 37)",Daily Dish
90273245,No,Female,33,United States,Oregon,Oreos. Pumpkin shaped candy corn. Werther’s. Hard candies in the strawberry wrapper. ,Blue and black,Friday,"(76, 27)",Science
90273247,No,Female,24,United States,Washington,"Spider rings, good stickers",Blue and black,Friday,"(79, 33)",Science
90273248,No,I'd rather not say,50,United States,NE,"Hostess Snowballs, the pink ones.  Those should be given out.  Pure Joy!",White and gold,Sunday,"(74, 31)",Science
90273250,No,Female,61,United States,Ohio,Unknown,White and gold,Friday,Unknown,Unknown
90273254,No,Male,38,United States,Oklahoma,Unknown,White and gold,Sunday,"(71, 27)",Science
90273258,No,Male,36,United States,Illinois,Unknown,White and gold,Friday,"(78, 29)",Science
90273260,No,Male,39,United States,Michigan,Tootsie pops,Blue and black,Friday,"(78, 23)",Science
90273263,No,Female,33,United States,Pennsylvania,Unknown,Blue and black,Friday,"(28, 55)",ESPN
90273269,No,Male,37,United States,Maryland,Unknown,White and gold,Friday,"(81, 15)",Science
90273270,No,Female,27,United States,Nevada,Unknown,White and gold,Friday,"(79, 12)",Science
90273278,Yes,I'd rather not say,18,United States,Virginia,nothing else,White and gold,Friday,"(74, 42)",Science
90273280,No,Male,49,United States,California,Sour skittles. I know you listed skittles in general but the sour ones are head and shoulders above the rest. ,White and gold,Sunday,"(80, 38)",Science
90273286,Yes,Female,34,United States,Washington,play doh mini packs other small toys homemade baked goods (from scratch),Blue and black,Sunday,"(87, 36)",Science
90273288,Yes,Female,38,United States,Ri,Temp tattoos Whoopers Fortune cookies Stickers,Blue and black,Friday,"(74, 5)",Science
90273291,No,Male,37,United States,Washington,"Twix, obviously",Blue and black,Friday,"(76, 21)",Science
90273297,No,Female,36,United States,Illinois,"Peanut butter M&Ms, Famous Amos pecan chocolate chip cookies",White and gold,Sunday,"(64, 12)",Science
90273298,No,Male,49,United States,California,Unknown,White and gold,Friday,"(82, 34)",Science
90273299,No,Female,47,United States,Washington,Anything with peanut butter,White and gold,Friday,"(75, 6)",Science
90273300,No,Male,25,France,Unknown,Unknown,White and gold,Sunday,"(73, 27)",Science
90273301,No,Male,41,United States,Massachusetts,Unknown,White and gold,Sunday,"(22, 66)",ESPN
90273304,No,Female,40,United States,Illinois,"Super Rope, cans of soda",White and gold,Sunday,"(79, 50)",Yahoo
90273305,No,Female,37,United States,Massachusetts,Unknown,Blue and black,Friday,"(72, 27)",Science
90273306,Yes,Male,19,United States,Illinois,Bubs  Daddy bubble gum,White and gold,Sunday,"(69, 8)",Science
90273313,No,Male,47,United States,Texas,Psychedelic mushrooms,Blue and black,Sunday,"(71, 22)",Science
90273318,No,Male,46,United States,California,Unknown,Blue and black,Friday,"(39, 21)",Daily Dish
90273320,No,Male,31,United States,Texas,"Single malt scotch, Cuban cigars, World of Warcraft",Blue and black,Sunday,"(85, 12)",Science
90273321,Yes,Male,48,United States,Michigan,Unknown,White and gold,Sunday,"(69, 23)",Science
90273325,No,Male,57,United States,California,Popcorn balls.,White and gold,Sunday,"(61, 27)",Science
90273326,No,Male,53,United States,Washington,Unknown,White and gold,Friday,"(83, 35)",Science
90273329,No,Female,66,United States,Ohio,Unknown,White and gold,Sunday,"(29, 21)",Daily Dish
90273331,Yes,Male,45,United States,Pennsylvania,Unknown,White and gold,Friday,"(34, 86)",ESPN
90273332,No,Male,27,United States,Illinois,Unknown,Blue and black,Friday,"(80, 31)",Science
90273333,No,Male,56,United States,md,"Goldenberg's Peanut Chews, Payday",Unknown,Friday,Unknown,Unknown
90273336,No,Male,70,United States,Wisconsin,Full-sized Snickers,Blue and black,Sunday,"(70, 19)",Science
90273345,Yes,Female,12,United States,Massachusetts,"Actual toys, like stuffed animals and sling shot thingy's",White and gold,Sunday,"(74, 32)",Science
90273348,No,Male,39,United States,"VT, Chittenden",Unknown,White and gold,Friday,"(63, 14)",Science
90273353,No,Male,32,United States,Michigan,Unknown,White and gold,Friday,"(78, 44)",Science
90273359,No,Male,52,United States,California,Sex,White and gold,Friday,"(32, 19)",Daily Dish
90273369,No,Female,29,United States,California,Unknown,White and gold,Friday,"(70, 23)",Science
90273370,No,Male,38,United States,Washington,Unknown,Blue and black,Friday,"(84, 26)",Science
90273371,No,Male,32,United States,Oregon,Unknown,White and gold,Friday,"(68, 11)",Science
90273375,No,Female,42,United States,Carolina,Unknown,White and gold,Friday,"(79, 29)",Science
90273377,No,Male,54,United States,Pennsylvania,oh henry candy bar,White and gold,Friday,"(36, 67)",ESPN
90273383,Yes,Male,38,Canada,Ontario,Unknown,White and gold,Sunday,"(73, 27)",Science
90273384,Yes,Male,53,United States,Pennsylvania,Snowcaps,White and gold,Friday,"(20, 77)",ESPN
90273391,No,Female,34,United States,Alabama,Beer,White and gold,Sunday,"(28, 75)",ESPN
90273393,No,Male,54,United States,Colorado,Coffee,White and gold,Sunday,"(74, 26)",Science
90273397,No,Female,40,United States,Georgia,Unknown,White and gold,Friday,"(77, 20)",Science
90273398,No,Male,32,United States,California,Unknown,Blue and black,Sunday,"(79, 23)",Science
90273408,No,Male,62,United States,Pennsylvania,"Tootsie rolls, mini.  Any chocolate mini-bar, pretty much, Mr. Goodbar and Nestle's Crunch are the best.  ",White and gold,Sunday,"(70, 5)",Science
90273420,No,Female,44,United States,California,Unknown,Blue and black,Sunday,"(63, 29)",Science
90273422,No,Female,44,Canada,British Columbia,"Homemade cookies with choc chips and marshmallows-but only the ones on Union St, NOT Princess or Jackson. ",White and gold,Sunday,"(80, 18)",Science
90273424,No,Male,52,United States,Illinois,Unknown,White and gold,Sunday,"(78, 28)",Science
90273427,No,Male,51,United States,California,Stuffed animals,White and gold,Friday,"(71, 25)",Science
90273429,No,Male,46,United States,California,Wind up robot toys Sparklers Loose Marlborough Lights,White and gold,Sunday,"(74, 30)",Science
90273431,No,Male,52,United States,Virginia,Bit o' honey,White and gold,Friday,"(19, 77)",ESPN
90273432,No,Female,37,United States,California,Unknown,White and gold,Friday,"(64, 22)",Science
90273435,No,Male,57,United States,Carolina,Unknown,Blue and black,Friday,"(85, 30)",Science
90273440,No,Male,44,United States,UT,Unknown,White and gold,Friday,"(32, 41)",Daily Dish
90273442,No,Male,60,United States,Massachusetts,snowcaps,White and gold,Sunday,"(74, 21)",Science
90273444,No,Male,42,United States,Massachusetts,Unknown,White and gold,Friday,Unknown,Science
90273447,No,Male,39,Mexico,California,Peanut marzapan,White and gold,Friday,"(80, 85)",Yahoo
90273450,No,Female,57,United States,IN,Mounds bar,White and gold,Sunday,"(70, 4)",Science
90273459,No,Male,48,United States,California,Almond Joy  Lifesavers  compliments  almonds  peanuts popcorn balls,White and gold,Friday,"(69, 5)",Science
90273463,No,Male,50,United States,California,"popcorn balls,  licorice ice chalk,  pepperoni,  lik-a-stix",White and gold,Sunday,"(80, 30)",Science
90273465,No,I'd rather not say,40,United States,Massachusetts,Unknown,Blue and black,Sunday,"(71, 28)",Science
90273466,No,Male,43,Canada,Alberta,"The little Kraft caramel/fudge cubes, Caramilk ",White and gold,Friday,"(73, 32)",Science
90273468,No,Male,60,United States,Ny,Bonobo Turkish Taffy (vanilla),Blue and black,Friday,"(89, 32)",Science
90273470,No,Female,55,United States,Illinois,"Heath Bars, Skor Bars, Hersey Dark Choloate",White and gold,Friday,"(67, 33)",Science
90273472,No,Male,40,United States,Carolina,"Books, comics, popcorn balls",Blue and black,Sunday,"(19, 89)",ESPN
90273474,No,Male,34,United States,California,Unknown,Blue and black,Sunday,"(76, 65)",Yahoo
90273476,No,Male,56,United States,California,There should be a special joy column for Resses Peanut Butter Cups (original),White and gold,Sunday,"(75, 23)",Science
90273479,Yes,Male,65,United States,Maryland,Unknown,White and gold,Sunday,"(34, 52)",ESPN
90273482,No,Female,40,United States,Oregon,Unknown,White and gold,Friday,"(73, 15)",Science
90273490,No,Male,56,United States,Pennsylvania,Goldenberg's Peanut chews,Unknown,Friday,Unknown,Unknown
90273500,No,Male,57,United States,North Dakota,Unknown,Blue and black,Friday,"(73, 34)",Science
90273509,Yes,Female,12,United States,Unknown,regular mints,White and gold,Sunday,"(66, 42)",Science
90273514,No,Male,38,Canada,Quebec,Unknown,White and gold,Friday,"(85, 32)",Science
90273518,No,Female,45,United States,California,Unknown,Blue and black,Sunday,"(80, 28)",Science
90273519,Yes,Female,39,United States,California, British chocolate ,Blue and black,Friday,"(77, 31)",Science
90273523,No,Male,40,United States,Colorado,Unknown,White and gold,Friday,"(79, 21)",Science
90273525,No,Male,48,United States,Texas,Unknown,Blue and black,Sunday,"(21, 53)",ESPN
90273526,No,Male,50,United States,Texas,Unknown,White and gold,Sunday,Unknown,Unknown
90273529,No,Female,51,Canada,British Columbia,can of pop,White and gold,Friday,"(67, 63)",Yahoo
90273533,No,Male,49,United States,California,Aero,Blue and black,Friday,"(69, 27)",Science
90273535,No,Male,48,United States,Wisconsin,Unknown,White and gold,Sunday,"(73, 28)",Science
90273537,No,Male,43,United States,Michigan,Bit o honey,Blue and black,Sunday,"(78, 25)",Science
90273539,No,Male,64,United States,Pennsylvania,"Original ""Mars Attacks"" trading cards Candy Apples Home-made popcorn balls Blunts Condoms (in un-opened, tamper-resistant packaging) .45 or 9mm ammunition Gift cards USB thumb drives Powerball tickets, unexpired",White and gold,Friday,"(74, 6)",Science
90273550,No,I'd rather not say,52,United States,Pennsylvania,"Dog treats (for my dog, not for me)",Blue and black,Sunday,"(67, 5)",Science
90273558,No,Male,37,United States,California,Unknown,White and gold,Friday,"(73, 14)",Science
90273567,No,Female,22,United States,Pennsylvania,Unknown,White and gold,Friday,"(87, 34)",Science
90273583,No,Male,44,United States,New York,"Mounds, 85% Dark Chocolate",Blue and black,Sunday,Unknown,Unknown
90273590,No,Male,52,Canada,Ontario,Witty Prose Inventive Popular Music,White and gold,Friday,"(69, 5)",Science
90273591,No,Female,51,United States,California,Unknown,Blue and black,Friday,Unknown,Unknown
90273594,No,Female,47,United States,Illinois,Unknown,White and gold,Friday,"(63, 39)",Science
90273596,No,Male,41,United States,Washington,ice cream cone,White and gold,Friday,"(73, 27)",Science
90273597,No,Male,38,United States,Kansas ,Unknown,Blue and black,Sunday,"(77, 28)",Science
90273599,No,Male,38,United States,New York,Do they still make Nutrageous?  Also Baby Ruth.,White and gold,Friday,Unknown,Science
90273602,No,Male,43,United States,Nevada,Unknown,White and gold,Friday,"(76, 27)",Science
90273607,No,Male,35,Canada,Ontario,Unknown,White and gold,Friday,"(87, 30)",Science
90273610,No,Male,34,United States,Illinois,Salted Licorice,White and gold,Friday,"(75, 28)",Science
90273612,Yes,Female,56,United States,Unknown,Unknown,White and gold,Friday,"(81, 26)",Science
90273613,No,Female,33,United States,Carolina,"Pretzel M&Ms, ponies, Neil Gaiman books, honey roasted peanut Reese's",Blue and black,Sunday,"(69, 5)",Science
90273615,No,Male,60,United States,New York,Unknown,White and gold,Friday,"(21, 83)",ESPN
90273626,No,Male,60,United Kingdom,Oxfordshire,Peanut Butter M&Ms,White and gold,Sunday,"(29, 59)",ESPN
90273638,No,Female,27,United States,Illinois,Unknown,White and gold,Friday,"(31, 35)",Daily Dish
90273639,No,Male,43,Canada,British Columbia,Unknown,Blue and black,Sunday,"(69, 23)",Science
90273643,No,I'd rather not say,39,United States,California,Unknown,White and gold,Friday,"(69, 17)",Science
90273644,No,Male,42,United States,Nebraska,none,Unknown,Friday,Unknown,Unknown
90273648,No,Male,40,United States,New York,"White chocolate M&Ms. (There’s a thing, if a rare thing.)",Blue and black,Sunday,"(73, 33)",Science
90273653,No,Male,38,United States,California,Unknown,Blue and black,Friday,"(73, 19)",Science
90273656,No,Male,64,United States,Arizona,Almond Joy,Unknown,Friday,"(75, 32)",Science
90273659,No,Male,59,United States,California,Unknown,Blue and black,Sunday,"(75, 28)",Science
90273666,No,Male,35,United States,California,Unknown,Unknown,Sunday,Unknown,Unknown
90273668,No,Female,44,United States,Virginia,"mini packs of Jelly Belly jelly beans, a big handful of those cheap plastic spider rings, Twinkies",White and gold,Friday,"(77, 7)",Science
90273672,No,Male,49,United States,California,Unknown,White and gold,Friday,"(72, 25)",Science
90273678,No,Female,58,United States,Florida,Music CDs books,Blue and black,Sunday,"(71, 24)",Science
90273680,No,Male,34,United States,Oregon,Unknown,White and gold,Sunday,"(65, 21)",Science
90273683,Yes,Female,21,United States,Texas,"Some unidentifiable tube-shaped, Asian-language rice treat that I think is made with eggs. It's kind of like a Rice Krispy combined with a puffed Cheeto.",Blue and black,Friday,"(82, 41)",Science
90273684,No,Male,38,United States,California,Unknown,White and gold,Sunday,"(75, 32)",Science
90273687,Yes,Female,11,United States,USA ,Unknown,White and gold,Friday,"(25, 26)",Daily Dish
90273688,No,Male,31,United States,Ohio,Unknown,Unknown,Friday,Unknown,Unknown
90273689,No,Female,57,United Kingdom,Oxfordshire,"Belgian Chocolate, Minstrels, chocolate cupcakes",White and gold,Friday,"(59, 4)",Science
90273693,No,Male,36,United States,New York,"Swedish salted licorice, Charleston Chew, salt water taffy.",White and gold,Sunday,"(71, 17)",Science
90273695,No,Male,43,United States,Massachusetts,Milky Way Dark,Blue and black,Friday,"(76, 13)",Science
90273696,No,Male,57,United States,nc,Unknown,Blue and black,Sunday,"(63, 11)",Science
90273698,No,Female,25,United States,Minnesota,Unknown,Blue and black,Friday,"(13, 20)",Daily Dish
90273699,No,Female,43,Unknown,Unknown,Unknown,Blue and black,Sunday,"(74, 33)",Science
90273702,No,Female,27,Canada,British Columbia,Unknown,White and gold,Friday,"(88, 29)",Science
90273703,No,I'd rather not say,43,Unknown,Unknown,Unknown,Unknown,Friday,"(82, 27)",Science
90273704,No,Other,38,United States,Illinois,Unknown,White and gold,Sunday,"(74, 40)",Science
90273717,No,Male,34,United States,Massachusetts,Unknown,Blue and black,Friday,Unknown,Unknown
90273721,No,I'd rather not say,44,United States,Nevada,Unknown,White and gold,Friday,"(67, 17)",Science
90273723,No,Male,44,United States,California,Salt Water Taffy,Blue and black,Sunday,"(24, 90)",ESPN
90273732,No,Male,35,United States,Alabama,Unknown,Unknown,Friday,Unknown,Unknown
90273737,No,Male,47,United States,Washington,Unknown,Unknown,Friday,Unknown,Unknown
90273744,Yes,Male,49,United States,Pennsylvania,Unknown,Blue and black,Friday,Unknown,Unknown
90273755,No,Male,34,United States,philadelphia,beer,White and gold,Friday,"(85, 28)",Science
90273762,No,Male,40,United States,Minnesota,Unknown,Blue and black,Sunday,"(70, 8)",Science
